INSTITUCION;CATEGORIA;NOMBRE;LINK
CONICET;PROYECTO;PITS;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/pits/
CONICET;PROYECTO;PIO;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/pio/
CONICET;PROYECTO;PUE;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/pue/
CONICET;PROYECTO;PIP;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/pip/
CONICET;PROYECTO;PIET-R;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/proyectos-de-investigacion-en-temas-estrategicos-territoriales-en-red-piet-r/
CONICET;PROYECTO;PIBAA;https://convocatorias.conicet.gov.ar/financiamiento-de-proyectos/pibaa/
UNLP;PROYECTO;PID;https://unlp.edu.ar/category/investigacion/
UNLP;PROYECTO;PPID;https://unlp.edu.ar/category/investigacion/
UNLP;BECA;Becas Doctorado;https://unlp.edu.ar/gestion/estudiantes/becas-cyt/
UNLP;BECA;Becas Maestría;https://unlp.edu.ar/gestion/estudiantes/becas-cyt/
UNLP;BECA;Becas EVC-CIN;https://unlp.edu.ar/gestion/estudiantes/becas-cyt/
UNLP;BECA;Becas Postdoctorado;https://unlp.edu.ar/gestion/estudiantes/becas-cyt/
CIC;BECA;Becas Formación Doctoral;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;BECA;Becas de Entrenamiento;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;CARRERA;Profesional de Apoyo;https://www.cic.gba.gob.ar/cic-convocatorias/
CONICET;CARRERA;Carrera del Investigador;https://convocatorias.conicet.gov.ar/carrera-del-investigador/
CONICET;CARRERA;Ingresos - General;https://convocatorias.conicet.gov.ar/carrera-del-investigador/general/
CONICET;CARRERA;Fortalecimiento en I+D+i;https://convocatorias.conicet.gov.ar/carrera-del-investigador/fortalecimiento-en-idi/
CONICET;CARRERA;Promociones;https://convocatorias.conicet.gov.ar/carrera-del-investigador/promociones/
CONICET;CARRERA;Informes Bienales;https://convocatorias.conicet.gov.ar/carrera-del-investigador-informes-bienales-2026/
CONICET;BECA;Programa de Becas;https://convocatorias.conicet.gov.ar/becas/
CONICET;BECA;Convocatoria de Becas 2026;https://convocatorias.conicet.gov.ar/becas/convocatoria-vigente/
UNLP;BECA;Becas Maestría-Doctorado y Postdoctorado;https://unlp.edu.ar/gestion/estudiantes/becas-cyt/
UNLP;SUBSIDIO;Jóvenes Investigadores en Formación;https://unlp.edu.ar/investigacion/
UNLP;SUBSIDIO;Viajes y Estadías;https://unlp.edu.ar/investigacion/
CIC;BECA;Becas Posdoctorales;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;CARRERA;Carrera del Investigador Científico y Tecnológico;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;PROYECTO;Ideas-Proyecto de Investigación Desarrollo y Transferencia;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;SUBSIDIO;Subsidios a Publicaciones;https://www.cic.gba.gob.ar/cic-convocatorias/
CIC;SUBSIDIO;Proyectos Bonaerenses de Federalización;https://www.cic.gba.gob.ar/cic-convocatorias/
AGENCIA I+D+i;PROYECTO;Financiamiento Agencia I+D+i;https://www.argentina.gob.ar/ciencia/financiamiento/agencia
AGENCIA I+D+i;PROYECTO;FONCyT - Presentación de Proyectos;https://www.argentina.gob.ar/ciencia/agencia/fondo-para-la-investigacion-cientifica-y-tecnologica-foncyt/presentacion-de-proyectos
AGENCIA I+D+i;PROYECTO;FONARSEC;https://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/5/convocatoria
